question,answer
"What is the fundamental architectural difference between a 'decoder-only' transformer (like GPT) and an 'encoder-decoder' transformer (like the original 2017 Transformer or T5), in terms of the attention patterns and the typical task each is suited for?","A decoder-only model has a SINGLE stack of transformer blocks that all use CAUSAL (masked) self-attention, where each position can only attend to itself and earlier positions; the same stack is used to both 'read' an input prompt and 'generate' output continuation, making it naturally suited to open-ended generative tasks like free-form text completion, where input and output share one continuous token stream. An encoder-decoder model has TWO separate stacks: an ENCODER stack that uses BIDIRECTIONAL (unmasked) self-attention to build a rich representation of the full input sequence all at once (since the whole input is available upfront and there is no 'future' to hide), and a separate DECODER stack that uses causal self-attention over the output being generated PLUS 'cross-attention' layers that let each decoder position attend over the encoder's full output representations; this two-stack design is naturally suited to sequence-to-sequence tasks with a clear, distinct input and output (such as machine translation or summarization), where treating the input encoding and output generation as separate concerns can be beneficial."
"In the original 2017 Transformer / early LayerNorm-based transformers, LayerNorm includes learned per-element 'gain' (scale) and 'bias' (shift) parameters applied after normalization. Explain why these learned parameters are often considered REDUNDANT when the normalized output immediately feeds into a following linear (matrix-multiply) layer with no bias term.","If normalized output y = norm(x) is immediately multiplied by a learned per-channel gain vector g (elementwise: y * g) and then fed into a bias-free linear layer with weight matrix W, computing z = W @ (y * g), this is mathematically identical to z = (W @ diag(g)) @ y -- i.e. multiplying each COLUMN i of W by g[i] produces a new matrix W' = W @ diag(g) such that z = W' @ y gives exactly the same result without ever needing the separate gain parameter g. Since W is itself a matrix of FREE, LEARNED parameters, the optimizer can already learn ANY per-input-channel rescaling directly inside W's own columns during training -- so an explicit learned gain preceding a free linear layer adds extra parameters and computation without adding any new EXPRESSIVE capability the model didn't already have; this is why some normalization schemes (e.g. RMSNorm without gain, as used in several modern LLMs) deliberately drop the learned gain/bias, keeping only the pure normalization arithmetic, and rely on the following linear layer to absorb any needed rescaling."
"Why does increasing the context length (sequence length) of a transformer become disproportionately expensive for the attention mechanism specifically, compared to the rest of the model (embeddings and per-token feed-forward layers), as context length grows very large?","The parameter-heavy parts of a transformer -- embedding lookups (cost independent of sequence length per token) and the per-token feed-forward/MLP layers (cost proportional to n_embd^2, applied independently and identically to EACH token, so total cost scales LINEARLY with sequence length T) -- scale linearly, or not at all, with sequence length. Full causal self-attention, however, requires every one of the T query positions to compute a score against (on average) roughly T/2 earlier key positions, meaning the total number of (query, key) attention computations grows QUADRATICALLY with sequence length: O(T^2). So while doubling the sequence length only doubles the cost of the embeddings and feed-forward layers, it roughly QUADRUPLES the cost of full attention -- meaning that as context length grows very large, attention increasingly dominates the total compute and memory cost of running the model, which is exactly the motivation behind techniques like FlashAttention (reducing attention's memory cost) and sliding-window/sparse attention (reducing attention's compute cost) for long-context models."
"A language model outputs a probability distribution over 4 possible next tokens: [0.50, 0.30, 0.15, 0.05]. The actual next token in the training data is the second one, to which the model assigned probability 0.30. Write the formula for the cross-entropy loss at this single position, and compute its numeric value in nats. (Use ln(0.30) ~ -1.2040.)","Cross-entropy loss for one prediction is loss = -ln(p_correct), where p_correct is the probability the model assigned to the token that actually came next in the data; the probabilities assigned to the other, wrong candidates do not enter this formula directly (though they do shape the softmax, and therefore the gradient, during training). Here p_correct = 0.30, so loss = -ln(0.30) = -(-1.2040) = 1.2040 nats. Notice the loss depends only on the probability given to the CORRECT token - a model that distributed the remaining 0.70 probability very differently among the three wrong candidates would get the exact same loss on this example, as long as it still assigned 0.30 to the right one."
"What is a 'nat', the unit that cross-entropy loss is usually reported in when computed with the natural logarithm (base e), and how does it relate to a 'bit', the unit used when the same quantity is computed with log base 2? Give the numeric conversion factor between the two.","A nat is the unit of information/surprise obtained from using the natural logarithm: it measures surprise in units of e-fold (about 2.718-fold) reductions in probability, the same way a bit measures surprise in units of 2-fold (halving) reductions in probability. One nat equals log2(e) ~ 1.4427 bits, and equivalently one bit equals ln(2) ~ 0.6931 nats. So converting a quantity FROM nats TO bits means dividing by ln(2) (~0.6931), or equivalently multiplying by log2(e) (~1.4427); converting FROM bits TO nats means multiplying by ln(2). Cross-entropy loss computed with a natural-log-based loss function comes out in nats; to compare it with an information-theoretic quantity conventionally reported in bits (such as bits-per-byte), it must first be converted with this factor."
"A model's cross-entropy loss on a validation set is measured as 3.5 nats. Convert this value to bits.","3.5 nats / ln(2) = 3.5 / 0.6931 ~ 5.0494 bits. (Equivalently: 3.5 * log2(e) = 3.5 * 1.4427 ~ 5.0494 bits.)"
"State the logarithm quotient rule for ln(a/b), and use it to simplify ln(1/x) (the natural log of a reciprocal) into an expression that no longer contains a fraction inside the logarithm.","The quotient rule states ln(a/b) = ln(a) - ln(b), for any a, b > 0. Setting a = 1 and b = x gives ln(1/x) = ln(1) - ln(x). Since ln(1) = 0 for the natural logarithm (e^0 = 1), this simplifies to ln(1/x) = -ln(x): the natural log of the reciprocal of a number is exactly the negative of the natural log of that number itself. This single identity explains why '-log(a small probability)', which is what cross-entropy loss computes, always comes out positive rather than negative - the next question works through exactly why."
"An untrained language model that has learned nothing assigns a uniform probability of 1/V to every one of the V tokens in its vocabulary, where V = 50,000. A student claims: 'the loss in this case is ln(1/50000), which comes out to a large NEGATIVE number (about -10.82), so an untrained model's loss must be negative.' Explain precisely what is wrong with this claim, and state the correct (positive) numeric value of the untrained loss in nats. (Use ln(50000) ~ 10.8198.)","The claim is correct that ln(1/50000) by itself is a large negative number (about -10.8198, since the natural log of any fraction smaller than 1 is always negative) - but it drops the leading minus sign that belongs to the cross-entropy loss FORMULA itself, which is loss = -ln(p_correct), not ln(p_correct). With p_correct = 1/50000, the actual loss is -ln(1/50000), not ln(1/50000). By the quotient rule (ln(1/x) = -ln(x), from the previous question), ln(1/50000) = -ln(50000), so -ln(1/50000) = -(-ln(50000)) = ln(50000) ~ 10.8198 - a positive number. More generally, cross-entropy loss can never come out negative for any model: it is always -ln(p) for some probability p strictly between 0 and 1, and ln of any number in that range is negative or zero, so -ln(p) is always positive or zero. A negative loss value would itself be a sign that something in the calculation is set up backwards."
"When computing a corpus-level 'bits per byte' (bpb) evaluation metric for a language model by processing the validation set in several separate batches, explain why the correct procedure is to SUM the total nats of loss and SUM the total bytes of text across ALL batches, then divide ONCE at the very end - rather than computing a separate bpb value for each batch and then averaging those per-batch bpb values together. Give a concrete two-batch example where the two approaches give very different answers. (Use ln(2) ~ 0.6931.)","Averaging per-batch bpb values gives every BATCH equal weight regardless of how much actual TEXT (how many bytes) that batch covered, which is wrong - a batch that happens to contain a few short, hard-to-predict tokens can produce a wildly extreme per-batch bpb ratio that then gets counted just as heavily in the average as a batch covering vastly more, easier text. Summing the nats and bytes separately first, then dividing once, naturally weights every BYTE of text equally, wherever it fell. Concretely: batch 1 has 1000 nats of loss over 1000 bytes of text, giving bpb1 = 1000 / (0.6931*1000) ~ 1.4427. Batch 2 has 100 nats over just 10 bytes (a tiny, unusually hard batch), giving bpb2 = 100 / (0.6931*10) ~ 14.4270. Averaging the two ratios gives (1.4427 + 14.4270) / 2 ~ 7.9348 - a wildly pessimistic, wrong answer dominated by one small, unrepresentative batch. Summing first gives (1000+100) nats over (1000+10) bytes: 1100 / (0.6931*1010) ~ 1.5713 - a realistic score reflecting that batch 2's 10 bytes are a tiny fraction of the 1010 bytes actually evaluated."
"Tokenizers used by GPT-style language models typically include a handful of 'special tokens' - for example a beginning-of-sequence (BOS) marker inserted automatically at the start of every document, or padding tokens used to make sequences in a batch equal length. When computing a loss-based evaluation metric such as bits-per-byte, why are these special tokens usually EXCLUDED from BOTH the numerator (the summed loss/nats) AND the denominator (the summed token or byte count), rather than being left in one or the other?","Special tokens like BOS are inserted by the data-processing pipeline itself, not sampled from the natural distribution of real text, and they typically appear at a highly predictable, fixed position (for example, always exactly at the start of a new document) - so a model very quickly learns to predict them with near-100% confidence, and including that near-zero loss in the numerator would artificially pull the average loss down without the model having gotten any better at predicting real text. At the same time, a token like BOS corresponds to no actual bytes of real text (it decodes to an empty string, i.e. its byte-length is exactly 0), so it must never be given credit in the byte-count denominator either. Excluding it from BOTH sums keeps the metric measuring 'how well does this model predict real text', not 'how well does it predict its own tokenizer's bookkeeping markers'. Including it in only one of the two sums would be strictly worse: crediting its near-zero loss in the numerator while correctly giving it 0 bytes in the denominator would make the metric look artificially better than it should, and in the extreme case of a batch containing nothing but special tokens, would produce a near-zero loss over zero real bytes - an undefined or meaninglessly perfect-looking score with no real text actually evaluated at all."
"A tiny 4-token evaluation batch has: three ordinary word tokens with byte-lengths 3, 4 and 4, and per-token cross-entropy losses (in nats) of 2.0, 3.0 and 2.5 respectively; plus one special BOS token with byte-length 0 and a loss of 0.05 nats (the model predicts BOS almost perfectly, since it is a predictable pipeline artifact rather than real content). Compute the bits-per-byte score two ways: (a) correctly, excluding the BOS token's loss from the numerator entirely, and (b) incorrectly, if someone mistakenly included the BOS token's 0.05 nats in the numerator (while still, correctly, giving it 0 bytes in the denominator either way). Use ln(2) ~ 0.6931.","(a) Correct: numerator = 2.0 + 3.0 + 2.5 = 7.5 nats (BOS's loss excluded); denominator = 3 + 4 + 4 = 11 bytes (BOS contributes 0 bytes either way, since it is real text that determines the denominator). bpb = 7.5 / (0.6931 * 11) ~ 0.9837. (b) Incorrect: numerator = 7.5 + 0.05 = 7.55 nats; denominator still 11 bytes. bpb = 7.55 / (0.6931 * 11) ~ 0.9902. In this single tiny example the two scores are close (0.9837 vs 0.9902) because one well-predicted special token barely moves a 4-token batch - but a real training corpus contains a document-start BOS at a fixed, perfectly-predictable position many millions or billions of times over, so this small per-token bias would compound into a real, systematic, artificial improvement to the reported metric if special tokens were not excluded as a matter of principle."
"When training a language model, sequences in a raw text corpus have wildly different lengths, but a model processes a batch of sequences that must all be the same length. Explain the difference between 'padding' and 'packing' as two strategies for handling this, and state one advantage packing has over padding.","Padding takes each individual training example (e.g. one document, or one fixed-length chunk of a document) and pads the SHORT ones out to a common fixed length with a special padding token, which the loss/attention computation is then told to ignore (mask out) - so batches routinely contain a large fraction of 'wasted' padding positions the model gets no useful training signal from, especially in a batch mixing a few very long documents with many short ones. Packing instead concatenates MULTIPLE separate documents end-to-end into one long stream of tokens, then simply cuts that stream into fixed-length rows with no padding at all - every position in every row is real content from some document, and typically a document-boundary or beginning-of-sequence marker is inserted between documents so the model can tell where one ends and the next begins (some implementations also reset positional information or attention at these boundaries so one document cannot attend across into a completely unrelated one). Packing's key advantage over padding is that it wastes no compute or memory on positions that carry no training signal - every one of the fixed T positions in every row is used to make an actual next-token prediction, which is why nearly all large-scale GPT pretraining pipelines use packing rather than padding for the main pretraining stage."
"In the 'query, key, value' terminology of self-attention, briefly explain - using a soft (probabilistic) dictionary-lookup analogy - what each of the three vectors conceptually represents for a given token position.","The analogy is a soft, fuzzy version of a dictionary lookup, where instead of one exact key matching and returning one value, EVERY key partially matches and contributes some weighted fraction of its value. The QUERY (from the current position) represents 'what information is this position looking for right now'. The KEY (from every position, including earlier ones the current position can see) represents 'what information does this position have on offer, as an index/label describing its own content'. The VALUE (also from every visible position) represents 'the actual content this position would hand over if it gets selected'. Concretely: the query is compared (via a dot product) against every visible position's key to produce a relevance/similarity score for each one; those scores become weights (via softmax) that sum to 1; and the position's output is the weighted average of every visible position's VALUE vector, using those weights - so a position with a key that closely matches the query contributes most of its value to the result, and a position with an irrelevant key contributes almost none of it."
"Some transformer implementations deliberately initialize the weights of the LAST linear layer inside each residual branch (for example, an attention block's output projection, or an MLP's final down-projection) to exactly zero, while initializing every other weight matrix with the usual small random values. Explain what effect this has on the network's behavior at the very start of training, and why it helps very deep networks train successfully.","With a residual connection of the form y = x + f(x), if the LAST weight matrix inside f is exactly zero, then f(x) itself is exactly zero for any input x, regardless of what any of the OTHER (randomly initialized) weights earlier inside f computed - so at the very first forward pass, every single residual block in the entire network reduces to the identity function y = x, and a network of any depth (2 layers or 200 layers) computes literally the same output as if it had zero layers, using exactly whatever the embedding layer produced. This matters for deep networks because it guarantees that, at initialization, no residual branch can inject a large, poorly-calibrated random perturbation into the stream that a deep stack of such perturbations (one per layer) would otherwise compound into an unstable, exploding or vanishing signal - each layer instead starts out contributing nothing, and only gradually 'grows in' its contribution as gradients (still nonzero for that zeroed layer, since a linear layer's weight gradient depends on its input activation, not on its own current weight value) push its weights away from zero over the course of training. This is one of the standard tricks that lets modern transformers train reliably at depths that would often diverge in the first few steps with naive random initialization throughout."
"Some large language models (for example, Google's Gemma 2) apply a 'logit softcap' before the final softmax: logits = C * tanh(logits / C), for some constant C (e.g. C = 30 or C = 50), instead of passing the raw logits straight into softmax. Explain what this transformation does to very large and very small logit values, and why a model designer might want to bound how confident the model's output distribution can become.","tanh(z) is an S-shaped curve that behaves almost like the identity function (tanh(z) ~ z) for values of z close to zero, but flattens out and saturates toward -1 and +1 as z becomes very large in magnitude - so 'C * tanh(logits / C)' leaves small, everyday logit values almost completely unchanged, while smoothly clamping any logit that tries to grow very large or very negative to a hard ceiling/floor of roughly +C or -C respectively; unlike a hard clip (min/max), this stays smooth and differentiable everywhere, which matters for backpropagation. The reason to want this at all is that, without any bound, a model can in principle push one logit to an enormous value relative to the others during training, making the softmax output extremely (over-)confident in one token - this can make training unstable (very large, spiky gradients right before saturation) and can also make the model's own probability estimates poorly calibrated. Capping the logit range to roughly [-C, C] limits the largest possible probability ratio the model can ever express between two tokens to about e^(2C):1 - still an enormous ratio in practice - while keeping training numerically better-behaved and damping the gradient specifically where the model is already very sure of itself."
"Define what a 'gradient' means for a single scalar parameter w inside a loss function, and work through a minimal concrete example: given prediction = w * x with w = 3, x = 2, and target y = 10, using the squared-error loss L = (prediction - y)^2, compute the gradient dL/dw by hand.","The gradient dL/dw answers the question: 'if I increase w by a tiny amount, how much and in which direction does the loss L change, per unit increase in w?' A positive gradient means increasing w increases the loss (so you should decrease w to reduce the loss); a negative gradient means the opposite. Working the example: prediction = w*x = 3*2 = 6, so L = (6-10)^2 = 16. By the chain rule, dL/dw = dL/d(prediction) * d(prediction)/dw = [2*(prediction - y)] * [x] = [2*(6-10)] * [2] = (-8) * 2 = -16. A negative gradient means increasing w would DECREASE the loss here (which makes sense: the prediction, 6, is too low compared to the target, 10, so pushing w - and therefore the prediction - up is the right move; 'the right move' is exactly 'move opposite the gradient's sign', which is what gradient descent does: w_new = w - learning_rate * gradient)."
"In a standard PyTorch-style training loop, calling loss.backward() does not overwrite a parameter's existing .grad attribute - it ADDS the newly computed gradient to whatever was already stored there. What is the consequence of forgetting to clear gradients (e.g. forgetting optimizer.zero_grad()) between consecutive training steps, and why does this bug often fail to crash the program even though it produces incorrect training?","If gradients are never cleared, then by training step N, a parameter's stored .grad is actually the SUM of the gradients computed at every one of the N backward passes so far, not just the most recent one - so the size of the update applied at each step keeps growing roughly in proportion to how many steps have accumulated (and, worse, most of those older accumulated gradients were computed with respect to parameter VALUES that have since moved, since the optimizer has been stepping the whole time, so they are stale and not even technically correct gradients of the current loss). This does not crash, because summing tensors of the same shape is a perfectly valid operation with no error to raise - the model simply trains with an effective step size that silently grows every single step, which usually shows up only as strangely erratic or unstable training, or a model that trains fine at first and then diverges, rather than as any kind of exception or obvious error message."
"What is 'momentum' (also called an exponential moving average, or EMA) as used in optimizers like SGD-with-momentum, Adam, and AdamW, and what general problem does it solve when applied to per-step gradients during neural network training?","Momentum maintains a running, exponentially-weighted average of the gradients seen on recent steps, rather than using only the single most-recent gradient to decide the update direction. One common form is m_new = beta * m_old + (1 - beta) * grad_current, where beta (e.g. 0.9) controls how much weight is given to the accumulated history versus the newest gradient - a beta close to 1 means the average changes slowly and remembers a long history; a beta close to 0 means it reacts almost entirely to just the latest gradient. The problem this solves is that a single mini-batch's gradient is NOISY - it reflects the specific handful of training examples in that one batch, plus whatever consistent underlying signal exists - so taking a step directly along the raw, noisy per-batch gradient causes the optimizer to zig-zag and waste some of its movement fighting noise that would average out anyway; averaging recent gradients together lets consistent directions (which keep reinforcing each other across many steps) build up in the running average, while inconsistent, noisy directions (which point different ways from step to step) partially cancel out, giving a steadier, more reliable direction to actually move in."
"Adam-family optimizers initialize their momentum buffer(s) at exactly zero, which causes the running average(s) to be systematically too small for the first several steps - a phenomenon addressed by 'bias correction'. Using beta = 0.9 and a running average m that starts at 0, compute the (uncorrected) value of m after a single step with gradient = 8, and then compute the bias-corrected value m / (1 - beta^step) at step = 1. What does this comparison show about the effect of bias correction on the very first step?","Uncorrected: with m starting at 0 and beta = 0.9, one step of the EMA update gives m = 0.9*0 + (1-0.9)*8 = 0.1*8 = 0.8 - only one tenth of the actual gradient (8), purely because the running average started at zero and has not yet had a chance to 'fill up' with real gradient information. Bias-corrected: bias1 = 1 - beta^step = 1 - 0.9^1 = 0.1, so the corrected value is m / bias1 = 0.8 / 0.1 = 8.0 - exactly recovering the true, uncorrected gradient itself. This shows that bias correction exactly cancels out the cold-start damping caused by initializing the running average at zero: without it, the very first optimizer step (and, to a lesser degree, the next several steps after it) would take a step that is artificially far too small, purely as an artifact of the initialization value rather than reflecting anything real about the gradient itself; as `step` grows large, beta^step shrinks toward 0, bias approaches 1, and the correction's effect fades away, exactly as it should once the running average has had enough steps to become genuinely representative."
"Write out the full parameter update formula for the (uncorrected weight-decay-free) Adam optimizer for one scalar parameter p, defining every symbol you use (m, v, beta1, beta2, lr, eps, and the two bias-correction terms), and explain in one sentence what role each of the two moving averages (m and v) plays.","Given gradient g at the current step, and running averages m (initialized to 0) and v (initialized to 0): m = beta1*m + (1-beta1)*g (an exponential moving average of the raw gradient - the 'first moment', tracking the gradient's typical DIRECTION); v = beta2*v + (1-beta2)*g^2 (an exponential moving average of the SQUARED gradient - the 'second moment', tracking the gradient's typical MAGNITUDE, since squaring erases the sign); bias-corrected versions m_hat = m / (1 - beta1^step) and v_hat = v / (1 - beta2^step) correct for both averages starting at zero; and the final parameter update is p = p - lr * m_hat / (sqrt(v_hat) + eps), where lr is the learning rate and eps is a small constant (e.g. 1e-8) added purely to avoid dividing by zero when v_hat is extremely small. In one sentence each: m supplies a smoothed, less-noisy ESTIMATE OF WHICH DIRECTION to move the parameter in, while v supplies a per-parameter estimate of the gradient's typical SIZE, used to divide the step down for parameters whose gradients are consistently large and up for parameters whose gradients are consistently small, so that a single learning rate lr produces a comparably-sized step for every parameter in the model regardless of how differently-scaled their raw gradients happen to be."
"Describe a typical learning-rate schedule used when pretraining a large transformer language model: name the two or three distinct phases it usually has, and explain in one sentence why each phase exists.","A typical schedule has a WARMUP phase at the very start, during which the learning rate is ramped up (often linearly) from zero (or a very small value) up to its intended peak value over the first few hundred or thousand steps, which exists because taking large optimizer steps immediately on a randomly-initialized, not-yet-stabilized model risks diverging training before normalization layers and adaptive-optimizer statistics have had a chance to settle. This is followed by a STABLE (or 'constant') phase, at or near the peak learning rate, for the bulk of training, during which the model does most of its actual learning at close to the fastest safe pace. Finally there is a DECAY (or 'cooldown'/'annealing') phase, in which the learning rate is gradually reduced - often following a cosine curve, or a straight linear ramp - down toward a small value or exactly zero by the end of training, which exists because large steps are good for making fast overall progress early on but bad for precisely settling into a good minimum late in training; a shrinking learning rate lets the model take smaller, more careful steps as it approaches a good solution, rather than continuing to bounce around it at full step size."
"What does PyTorch's torch.compile (or similar just-in-time graph-compilation features in other deep learning frameworks) do to a model's code before running it, and what is 'kernel fusion' - the specific optimization that is usually responsible for most of the resulting speedup on memory-bound operations?","torch.compile traces the sequence of tensor operations a model's Python code performs, builds an internal computation graph out of them, and then generates new, specialized low-level code (kernels) for running that graph, instead of executing each individual operation one at a time exactly as the eager-mode interpreter encounters it ('eager mode' being the normal, un-compiled way frameworks like PyTorch run by default, where each line of code triggers its own separate GPU/CPU kernel launch immediately). 'Kernel fusion' is the key optimization this compilation step enables: several small operations chained together back-to-back - for example, a normalization, followed by an element-wise multiply, followed by an addition - would normally each separately read their whole input tensor from memory and write a whole output tensor back to memory (three full round trips to memory for three cheap operations), but a fused kernel instead performs all three operations in a single pass, reading each input value once and writing each output value once. Because many of the small operations scattered throughout a transformer (normalization layers, residual additions, activation functions) are memory-bandwidth-bound rather than arithmetic-bound - their runtime cost comes from moving data to and from memory rather than from the arithmetic itself - fusing several of them into one kernel can cut memory traffic by roughly the number of operations fused together, which is usually where most of a compiler's real-world speedup on transformer training comes from, rather than from making any individual large matrix multiply itself faster."
"The following one-line function is a standard way to turn one row of token ids into a training example for next-token prediction:

def split_row(row):
    return row[:-1], row[1:]

Given row = [10, 42, 7, 99, 3] (a sequence of 5 token ids), what are the two returned values, and explain in general terms why this 'shift the same sequence by one position' trick is the standard way essentially any GPT-style training pipeline builds its inputs and targets.","row[:-1] = [10, 42, 7, 99] (everything except the last element) becomes the model's INPUT; row[1:] = [42, 7, 99, 3] (everything except the first element) becomes the TARGET. Lined up by position, input[i] is always the token immediately followed, one position later in the ORIGINAL row, by target[i] - e.g. input[0]=10 is followed by target[0]=42 (the real next token after 10); input[3]=99 is followed by target[3]=3. This one-line shift is the standard trick behind virtually every GPT-style pretraining pipeline: one row of T+1 raw token ids, split this way, produces T separate (context-so-far, correct-next-token) training pairs at once - one per position - from a single row, with no extra data preparation. Combined with a causal mask (so position i cannot peek at position i+1 while making its own prediction), all T of those predictions can be computed in a single forward pass rather than requiring T separate ones, which is exactly what makes pretraining on trillions of tokens computationally tractable at all."
"The following code builds a boolean self-attention mask for a sequence of length T, optionally restricted to a limited local context window:

i = torch.arange(T)
delta = i[:, None] - i[None, :]
mask = (delta >= 0) & (delta <= window)

Explain what `delta` represents, what each of the two conditions being AND-ed together enforces, and what happens if `window` is set to a value greater than or equal to T.","`i[:, None]` is a column of shape (T,1) and `i[None, :]` is a row of shape (1,T); subtracting them broadcasts into a full (T,T) matrix where delta[row, col] = row - col, i.e. 'how many positions BACK is key position col from query position row' (positive means col is in the past relative to row; negative means col is in the future). `delta >= 0` enforces CAUSALITY: a query may only attend to keys at or before its own position, never the future - the property that makes next-token-prediction training valid for any decoder-only transformer. `delta <= window` enforces a LOCAL WINDOW LIMIT: a query cannot attend further back than `window` positions, even into the legitimate past - used by models that trade full context for cheaper, faster attention (sliding-window attention). ANDing both conditions together keeps only the diagonal BAND of positions that are both in the past and within the window. Setting `window >= T` makes the second condition true for every causally-valid pair (since delta never exceeds T-1), so the AND reduces to plain full causal masking with no window restriction at all - which is why one function can implement both 'full causal attention' and 'windowed attention' layers without a separate code path."
"The following four lines compute the mathematical core of scaled dot-product self-attention, given q, k, v tensors of shape (batch, heads, seq_len, head_dim):

scores = (q @ k.transpose(-2, -1)) / (head_dim ** 0.5)
scores = scores.masked_fill(~allowed, float('-inf'))
weights = torch.softmax(scores, dim=-1)
out = weights @ v

For each line, state in one phrase what it computes, and explain specifically why `dim=-1` (the LAST dimension) is the correct axis to apply softmax over.","Line 1 computes every query's dot-product similarity against every key, scaled down by sqrt(head_dim) to counteract dot products growing larger (in expectation) for higher-dimensional vectors, producing a (batch, heads, seq_len_q, seq_len_k) tensor of raw scores. Line 2 sets every disallowed (batch, heads, seq_len_q, seq_len_k) pair (e.g. future positions under a causal mask) to negative infinity, so it receives exactly zero probability after the softmax. Line 3 turns each query's row of scores into a probability distribution over the KEYS it is allowed to see. Line 4 computes, for every query, a weighted average of the VALUE vectors, using that query's own attention-weight row as the weights. `dim=-1` is correct because the last dimension of the scores tensor indexes the KEYS, and softmax must normalize each query's scores into probabilities that sum to 1 OVER THE SET OF KEYS THAT QUERY IS CHOOSING AMONG, independently for every (batch, head, query position) combination; applying softmax over any other dimension (for example the query dimension) would instead normalize down a COLUMN - across different queries' opinions of one fixed key - answering a different, and useless, question."
"The following code implements top-k filtering of a language model's logits before sampling the next token:

values, _ = torch.topk(logits, k, dim=-1)
logits = logits.masked_fill(logits < values[:, -1:], float('-inf'))
probs = torch.softmax(logits, dim=-1)

Explain what `values[:, -1:]` represents, why comparing every logit against it with `<` correctly identifies exactly the tokens OUTSIDE the top k, and why no extra step is needed to make the surviving probabilities sum back to 1 after masking.","`torch.topk(logits, k, dim=-1)` returns the k largest values in each row, SORTED in descending order, so `values` has shape (..., k) with `values[..., 0]` the largest and `values[..., k-1]` the k-th largest (the smallest value that still makes the cut). `values[:, -1:]` selects that k-th-largest value for each row, kept as a (batch, 1) shaped slice (rather than squeezed down to shape (batch,)) specifically so it BROADCASTS correctly against the full (batch, vocab_size) logits tensor in the next line. Comparing `logits < values[:, -1:]` is then true for exactly the logits strictly smaller than the k-th largest value in their row - i.e. exactly the tokens that did NOT make the top k - and `masked_fill` sets those to negative infinity. No renormalization step is needed afterward because `exp(-inf) = 0`: when `torch.softmax` runs on the very next line, every masked-out token automatically contributes exactly 0 to both the numerator (its own term) and the denominator (the sum of all terms), so the softmax over the remaining (at most k) un-masked logits already comes out summing to exactly 1 over just those survivors - the same trick used for causal masking above."
"Two small PyTorch code patterns commonly appear together in a training/inference codebase:

with torch.no_grad():
    ...   # e.g. an evaluation pass, or a text-generation loop

and, inside the actual training step:

optimizer.zero_grad(set_to_none=True)

Explain the purpose of each, and specifically why `set_to_none=True` is generally preferred over the historical default, which zeroes out the existing gradient tensors in place instead of discarding them.","`torch.no_grad()` tells the framework not to build up the computation graph (the record of every operation, needed later to run backpropagation) for anything computed inside its block - used for any computation that will never need a backward pass, such as evaluating a model on a validation set or generating text at inference time. Skipping graph construction there saves real memory and some compute, since none of those intermediate values need to be kept around for a gradient calculation that will never happen. `optimizer.zero_grad()` clears every parameter's accumulated `.grad` attribute before the next backward pass, which matters because backward() always ADDS to an existing `.grad` rather than replacing it (covered elsewhere in this quiz), so failing to clear it between steps corrupts training. `set_to_none=True` clears gradients by simply setting `.grad` to `None` instead of overwriting the existing gradient tensor's values with zeros in place: this immediately frees the memory those gradient tensors were using (rather than keeping a same-sized tensor of zeros allocated), and it means the next backward pass creates a fresh gradient tensor directly from the newly computed values rather than performing a wasted 'add this value onto an existing zero tensor' operation - both are small, free efficiency wins with no behavioral downside."
